species
Cheilodipterus macrodon
Cheilodipterus novemstriatus
Cheilodipterus quinquelineatus
Cheilopogon cyanopterus
Cheilopogon exsiliens
Cheilopogon furcatus
Cheilopogon heterurus
Cheilopogon melanurus
Chelidonichthys capensis
Chelidonichthys cuculus
Chelidonichthys gabonensis
Chelidonichthys lastoviza
Chelidonichthys lucerna
Chelidonichthys obscurus
Chelidoperca pleurospilus
Chelon auratus
Chelon caeruleus
Chelon labrosus
Chelon ramada
Chelon saliens
Chiasmodon niger
Chilomycterus antennatus
Chilomycterus reticulatus
Chimaera monstrosa
Chirocentrus dorab
Chirodactylus grandis
Chirolophis ascanii
Chirostomias pliopterus
Chlopsis bicolor
Chlopsis dentatus
Chlorophthalmus agassizi
Chlorophthalmus atlanticus
Chloroscombrus chrysurus
Chondrostoma nasus
Chromis chromis
Chromis limbata
Chromis multilineata
Chromis pelloura
Chromis ternatensis
Chromis viridis
Chromis weberi
Chromogobius britoi
Chromogobius quadrivittatus
Chromogobius zebratus
Chrysichthys nigrodigitatus
Ciliata mustela
Ciliata septentrionalis
Cirrhilabrus rubriventralis
Cirrhilabrus temminckii
Cirrhitichthys oxycephalus
Cirripectes polyzona
Cirripectes quagga
Citharus linguatula
Clinitrachus argentatus
Clupea harengus
Clupeonella cultriventris
Cobitis taenia
Coccorella atlantica
Coccorella atrata
Coelorinchus caelorhincus
Coelorinchus labiatus
Coelorinchus mediterraneus
Coelorinchus occa
Coloconger cadenati
Conger conger
Conger wilsoni
Conocara macropterum
Conocara microlepis
Conocara murrayi
Conocara salmoneum
Cookeolus japonicus
Corcyrogobius liechtensteini
Coregonus albula
Coregonus lavaretus
Coregonus maraena
Coregonus oxyrinchus
Coregonus pallasii
Coregonus peled
Coris atlantica
Coris aygula
Coris caudimacula
Coris gaimard
Coris julis
Corniger spinosus
Coryogalops ocheticus
Coryphaena equiselis
Coryphaena hippurus
Coryphaenoides armatus
Coryphaenoides brevibarbis
Coryphaenoides carapinus
Coryphaenoides guentheri
Coryphaenoides leptolepis
Coryphaenoides marshalli
Coryphaenoides mediterraneus
Coryphaenoides paramarshalli
Coryphaenoides profundicolus
Coryphaenoides rudis
Coryphaenoides rupestris
Coryphaenoides thelestomus
Coryphaenoides zaniophorus
Coryphoblennius galerita
Corythoichthys schultzi
Cosmocampus retropinnis
Cottunculus microps
Cottunculus thomsonii
Cottus gobio
Cottus poecilopus
Crenidens crenidens
Crenimugil crenilabis
Cryptocentrus caeruleomaculatus
Cryptocentrus steinhardti
Cryptopsaras couesii
Crystallogobius linearis
Ctenolabrus rupestris
Cubiceps capensis
Cubiceps gracilis
Cyclichthys spilostylus
Cyclopterus lumpus
Cyclothone acclinidens
Cyclothone alba
Cyclothone braueri
Cyclothone livida
Cyclothone microdon
Cyclothone obscura
Cyclothone pallida
Cyclothone pseudopallida
Cyclothone pygmaea
Cyclothone signata
Cyema atrum
Cynoglossus bilineatus
Cynoglossus cadenati
Cynoglossus canariensis
Cynoglossus monodi
Cynoglossus senegalensis
Cynoglossus sinusarabici
Cynoponticus ferox
Cyprinus carpio
Cyttopsis rosea
Dactyloptena orientalis
Dactyloptena peterseni
Dactylopterus volitans
Dagetichthys lusitanicus
Dalatias licha
Dalophis boulengeri
Dalophis imberbis
Dalophis obtusirostris
Dascyllus aruanus
Dascyllus trimaculatus
Dasyatis chrysonota
Dasyatis marmorata
Dasyatis pastinaca
Dasyatis tortonesei
Decapterus macarellus
Decapterus punctatus
Decapterus russelli
Deltentosteus collonianus
Deltentosteus quadrimaculatus
Dendrochirus brachypterus
Dendrochirus zebra
Dentex angolensis
Dentex canariensis
Dentex dentex
Dentex gibbosus
Dentex macrophthalmus
Dentex maroccanus
Derichthys serpentinus
Diagramma pictum
Diaphus bertelseni
Diaphus brachycephalus
Diaphus coeruleus
Diaphus dumerilii
Diaphus effulgens
Diaphus fragilis
Diaphus garmani
Diaphus holti
Diaphus lucidus
Diaphus luetkeni
Diaphus metopoclampus
Diaphus mollis
Diaphus perspicillatus
Diaphus rafinesquii
Diaphus roei
Diaphus splendidus
Diaphus subtilis
Diaphus taaningi
Diaphus termophilus
Dibranchus atlanticus
Dicentrarchus labrax
Dicentrarchus punctatus
Dicologlossa cuneata
Dicologlossa hexophthalma
Dicrolene introniger
Didogobius bentuvii
Didogobius kochi
Didogobius schlieweni
Didogobius splechtnai
Dinematichthys iluocoeteoides
Diodon eydouxii
Diodon holocanthus
Diodon hystrix
Diogenichthys atlanticus
Diplecogaster bimaculata
Diplecogaster ctenocrypta
Diplecogaster euxinica
Diplecogaster umutturali
Diplodus annularis
Diplodus bellottii
Diplodus capensis
Diplodus cervinus
Diplodus levantinus
Diplodus noct
Diplodus puntazzo
Diplodus sargus
Diplodus vulgaris
Diplogrammus gruveli
Diplophos taenia
Diplospinus multistriatus
Dipturus batis
Dipturus nidarosiensis
Dipturus oxyrinchus
Diretmichthys parini
Diretmus argenteus
Ditropichthys storeri
Dolicholagus longirostris
Dolichopteryx longipes
Dolopichthys allector
Dolopichthys longicornis
Dolopichthys pullatus
Dorosoma cepedianum
Drepane africana
Dussumieria acuta
Dussumieria elopsoides
Dysalotus alcocki
Dysalotus oligoscolus
Dysomma brevirostre
Ebinania costaecanariae
Echelus myrus
Echelus pachyrhynchus
Echeneis naucrates
Echidna nebulosa
Echidna polyzona
Echiichthys vipera
Echinomacrurus mollis
Echinorhinus brucus
Echiodon dentatus
Echiodon drummondii
Echiostoma barbatum
Ecsenius frontalis
Ectreposebastes imus
Einara edentula
Einara macrolepis
Elagatis bipinnulata
Elates ransonnettii
Electrona risso
Elops lacerta
Elops senegalensis
Encheliophis gracilis
Enchelycore anatina
Enchelyopus cimbrius
Encrasicholina gloria
Encrasicholina heteroloba
Engraulis albidus
Engraulis encrasicolus
Engraulis maeoticus
Engyprosopon grandisquama
Engyprosopon hureaui
Engyprosopon latifrons
Enneapterygius pallidus
Enneapterygius tutuilae
Entelurus aequoreus
Ephippion guttifer
Epigonus constanciae
Epigonus denticulatus
Epigonus telescopus
Epinephelus aeneus
Epinephelus areolatus
Epinephelus caninus
Epinephelus chlorostigma
Epinephelus coioides
Epinephelus costae
Epinephelus epistictus
Epinephelus fasciatus
Epinephelus goreensis
Epinephelus hexagonatus
Epinephelus itajara
Epinephelus latifasciatus
Epinephelus malabaricus
