spygen_code;pool;replicates;date
SPY192322;no;SPY192304/SPY192313/SPY192322;2019-07-03
SPY192323;no;SPY192279/SPY192306/SPY192316/SPY192323;2019-07-01
SPY200455;no;SPY200455/SPY200460/SPY200470/SPY200484;2020-05-20
SPY200456;no;SPY200456/SPY200465/SPY200468/SPY200474;2020-05-20
SPY200457;no;SPY200457/SPY200461/SPY200489/SPY200494;2020-05-27
SPY200458;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200459;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200460;no;SPY200455/SPY200460/SPY200470/SPY200484;2020-05-20
SPY200461;no;SPY200457/SPY200461/SPY200489/SPY200494;2020-05-27
SPY200462;no;SPY200462/SPY200472/SPY200476/SPY201154;2020-07-16
SPY200463;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200464;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200465;no;SPY200456/SPY200465/SPY200468/SPY200474;2020-05-20
SPY200466;no;SPY200466/SPY200467/SPY200477/SPY200483;2020-05-27
SPY200467;no;SPY200466/SPY200467/SPY200477/SPY200483;2020-05-27
SPY200468;no;SPY200456/SPY200465/SPY200468/SPY200474;2020-05-20
SPY200469;no;SPY200469/SPY200479/SPY200480/SPY200490;2020-05-22
SPY200470;no;SPY200455/SPY200460/SPY200470/SPY200484;2020-05-20
SPY200471;no;SPY200471/SPY200473/SPY200478/SPY200486;2020-05-27
SPY200472;no;SPY200462/SPY200472/SPY200476/SPY201154;2020-07-16
SPY200473;no;SPY200471/SPY200473/SPY200478/SPY200486;2020-05-27
SPY200474;no;SPY200456/SPY200465/SPY200468/SPY200474;2020-05-20
SPY200475;no;SPY200475/SPY200481/SPY200482/SPY200492;2020-05-22
SPY200476;no;SPY200462/SPY200472/SPY200476/SPY201154;2020-07-16
SPY200477;no;SPY200466/SPY200467/SPY200477/SPY200483;2020-05-27
SPY200478;no;SPY200471/SPY200473/SPY200478/SPY200486;2020-05-27
SPY200479;no;SPY200469/SPY200479/SPY200480/SPY200490;2020-05-22
SPY200480;no;SPY200469/SPY200479/SPY200480/SPY200490;2020-05-22
SPY200481;no;SPY200475/SPY200481/SPY200482/SPY200492;2020-05-22
SPY200482;no;SPY200475/SPY200481/SPY200482/SPY200492;2020-05-22
SPY200483;no;SPY200466/SPY200467/SPY200477/SPY200483;2020-05-27
SPY200484;no;SPY200455/SPY200460/SPY200470/SPY200484;2020-05-20
SPY200485;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200486;no;SPY200471/SPY200473/SPY200478/SPY200486;2020-05-27
SPY200487;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200488;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200489;no;SPY200457/SPY200461/SPY200489/SPY200494;2020-05-27
SPY200490;no;SPY200469/SPY200479/SPY200480/SPY200490;2020-05-22
SPY200492;no;SPY200475/SPY200481/SPY200482/SPY200492;2020-05-22
SPY200493;no;SPY200458/SPY200459/SPY200463/SPY200464/SPY200485/SPY200487/SPY200488/SPY200493;2020-05-20
SPY200494;no;SPY200457/SPY200461/SPY200489/SPY200494;2020-05-27
SPY200778;no;SPY200778/SPY200796;2020-05-19
SPY200779;no;SPY200779/SPY200783;2020-05-19
SPY200780;no;SPY200780/SPY200795;2020-05-18
SPY200781;no;SPY200781/SPY200797;2020-05-18
SPY200782;no;SPY200782/SPY200787;2020-05-08
SPY200783;no;SPY200779/SPY200783;2020-05-19
SPY200784;no;SPY200784/SPY200801;2020-05-19
SPY200785;no;SPY200785/SPY200791;2020-05-09
SPY200786;no;SPY200786/SPY200792;2020-05-09
SPY200787;no;SPY200782/SPY200787;2020-05-08
SPY200788;no;SPY200788/SPY200794/SPY200799/SPY200803;2020-05-20
SPY200790;no;SPY200790/SPY200802;2020-05-18
SPY200791;no;SPY200785/SPY200791;2020-05-09
SPY200792;no;SPY200786/SPY200792;2020-05-09
SPY200794;no;SPY200788/SPY200794/SPY200799/SPY200803;2020-05-20
SPY200795;no;SPY200780/SPY200795;2020-05-18
SPY200796;no;SPY200778/SPY200796;2020-05-19
SPY200797;no;SPY200781/SPY200797;2020-05-18
SPY200798;no;SPY200798/SPY200800/SPY201202/SPY201242;2020-05-20
SPY200799;no;SPY200788/SPY200794/SPY200799/SPY200803;2020-05-20
SPY200800;no;SPY200798/SPY200800/SPY201202/SPY201242;2020-05-20
SPY200801;no;SPY200784/SPY200801;2020-05-19
SPY200802;no;SPY200790/SPY200802;2020-05-18
SPY200803;no;SPY200788/SPY200794/SPY200799/SPY200803;2020-05-20
