"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY200489","no","SPY200457/SPY200461/SPY200489/SPY200494",2020-05-27,"France","PACA","carry_le_rouet","resquiadou",NA,"coastal",NA,NA,NA,NA,43.357127,5.289025,43.346944,5.273608,"5",1,"surface_transect","9:05","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,0.308742,2020-05-27 07:05:20,43.357127,5.289025,"162",0,-4.152795,2020-05-27 07:35:57,43.346944,5.273608,"163",0
"SPY200494","no","SPY200457/SPY200461/SPY200489/SPY200494",2020-05-27,"France","PACA","carry_le_rouet","resquiadou",NA,"coastal",NA,NA,NA,NA,43.357127,5.289025,43.346944,5.273608,"5",1,"surface_transect","9:05","30",0.2,30,NA,"eRef",1,0,1,0,0,0,0,0,0,NA,0.308742,2020-05-27 07:05:20,43.357127,5.289025,"162",0,-4.152795,2020-05-27 07:35:57,43.346944,5.273608,"163",0
"SPY201149","no","SPY201149/SPY201151/SPY201177/SPY201193",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.63094,9.3793,41.63274,9.3772,NA,1,"surface_transect","14:16","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,1.161423,2020-07-20 12:16:30,41.63094,9.379305,"190",0.416638825832965,1.566637,2020-07-20 13:37:45,41.632742,9.377198,"192",0.277696389866709
"SPY201150","no","SPY201150/SPY201152/SPY201157/SPY201158",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.50884,9.39334,41.50938,9.38458,NA,1,"surface_transect","11:40","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,7.574314,2020-07-20 09:40:46,41.508839,9.393336,"186",0.351924117040724,3.592815,2020-07-20 10:12:15,41.509382,9.384578,"187",0.277883130247012
"SPY201151","no","SPY201149/SPY201151/SPY201177/SPY201193",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.63094,9.3793,41.63274,9.3772,NA,1,"surface_transect","14:16","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,1.161423,2020-07-20 12:16:30,41.63094,9.379305,"190",0.416638825832965,1.566637,2020-07-20 13:37:45,41.632742,9.377198,"192",0.277696389866709
"SPY201152","no","SPY201150/SPY201152/SPY201157/SPY201158",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.50884,9.39334,41.50938,9.38458,NA,1,"surface_transect","11:40","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,7.574314,2020-07-20 09:40:46,41.508839,9.393336,"186",0.351924117040724,3.592815,2020-07-20 10:12:15,41.509382,9.384578,"187",0.277883130247012
"SPY201153","no","SPY201153/SPY201162",2020-07-29,"France","Corse","cap_corse","remontee_rocheuse",NA,"offshore","rocks",NA,NA,NA,43.10634,9.1474,43.14656,9.1465,NA,1,"surface_transect","17:01","30",0.2,30,NA,"CORSE_OFB",0,0,1,0,0,0,0,0,0,NA,-0.360827,2020-07-29 15:01:40,43.106342,9.147404,"248",0.394187929642904,-0.858274,2020-07-29 15:31:23,43.146561,9.146504,"249",0.343830348053353
"SPY201154","no","SPY200462/SPY200472/SPY200476/SPY201154",2020-07-16,"France","Occitanie","banyuls","rederis",NA,"coastal",NA,NA,NA,NA,42.46159,3.16168,42.4623,3.161015,"9",1,"surface_transect","13:22","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-0.139232,2020-07-16 11:20:04,42.46159,3.16168,"180",0,-1.769835,2020-07-16 11:51:59,42.462296,3.161015,"182",0.444329074061769
"SPY201155","no","SPY180622/SPY201155/SPY201156/SPY201189",2020-07-16,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43481,3.175645,42.43424,3.175286,"15",1,"surface_transect","11:36","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,-2.810176,2020-07-16 09:36:11,42.434809,3.175645,"177",0.111081733703908,-3.38858,2020-07-16 10:06:03,42.434239,3.175286,"179",0.111081722589108
"SPY201156","no","SPY180622/SPY201155/SPY201156/SPY201189",2020-07-16,"Spain",NA,"punta_de_locell",NA,NA,"coastal",NA,NA,NA,NA,42.43463,3.175649,42.43602,3.174885,"15",1,"surface_transect","10:40","30",0.2,30,NA,"eRef",0,0,1,0,0,0,0,0,0,NA,0.265711,2020-07-16 08:40:38,42.434628,3.175649,"174",0.222163460830064,1.38902,2020-07-16 09:10:04,42.436023,3.174885,"176",0.33324527239901
"SPY201157","no","SPY201150/SPY201152/SPY201157/SPY201158",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.50896,9.39328,41.51,9.38338,NA,1,"surface_transect","12:32","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,7.888455,2020-07-20 10:32:48,41.508966,9.393282,"188",0.686982133955424,4.692811,2020-07-20 11:01:42,41.509999,9.383375,"189",0.431939574158889
"SPY201158","no","SPY201150/SPY201152/SPY201157/SPY201158",2020-07-20,"France","Corse","porto_vecchio","toro",NA,"coastal","meadow_rocks_sandy_bed",NA,NA,NA,41.50896,9.39328,41.51,9.38338,NA,1,"surface_transect","12:32","30",0.2,30,NA,"CORSE_OEC",0,0,1,0,0,0,0,0,0,NA,7.888455,2020-07-20 10:32:48,41.508966,9.393282,"188",0.686982133955424,4.692811,2020-07-20 11:01:42,41.509999,9.383375,"189",0.431939574158889
