"spygen_code","pool","replicates","date","country","region","site","subsite","subsite_andromede","component","habitat","protection","mpa_name","mpa_dist","latitude_start_DD","longitude_start_DD","latitude_end_DD","longitude_end_DD","depth_seafloor","depth_sampling","method","time_start","duration","filter","estimated_volume","flow_sensor_volume","project","lockdown","BiodivMed2023","Tele01","Pleo","Mamm01","Vert01","X16s_Metazoa","Bact02","Euka02","comments","Elevation_waypoint_start","Time_waypoint_start","Latitude_waypoint_start","Longitude_waypoint_start","Name_waypoint_start","distance_start","Elevation_waypoint_end","Time_waypoint_end","Latitude_waypoint_end","Longitude_waypoint_end","Name_waypoint_end","distance_end"
"SPY233977","no","SPY233977/SPY233978",2023-09-01,"Italy","Toscane","monte_cristo","monte_cristo",NA,"coastal",NA,NA,NA,NA,42.346417,10.294133,NA,NA,NA,1,"surface_transect","14:16","30",0.2,30,NA,"ActNow",0,1,1,1,0,0,0,0,0,NA,-121.019073,2023-09-01 12:53:41,42.338819,10.291465,"0181",872.15139232408,NA,NA,NA,NA,NA,NA
"SPY233978","no","SPY233977/SPY233978",2023-09-01,"Italy","Toscane","monte_cristo","monte_cristo",NA,"coastal",NA,NA,NA,NA,42.346417,10.294133,NA,NA,NA,1,"surface_transect","14:16","30",0.2,30,NA,"ActNow",0,1,1,1,0,0,0,0,0,NA,-121.019073,2023-09-01 12:53:41,42.338819,10.291465,"0181",872.15139232408,NA,NA,NA,NA,NA,NA
"SPY233988","no","SPY233988/SPY233996",2023-08-25,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:16","30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,-57.299778,2023-08-25 16:35:44,42.563468,8.757588,"0166",417967.459864417,NA,NA,NA,NA,NA,NA
"SPY233996","no","SPY233988/SPY233996",2023-08-25,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:16","30",0.2,30,NA,"VAMAHEAT",0,1,1,1,0,0,0,0,0,NA,-57.299778,2023-08-25 16:35:44,42.563468,8.757588,"0166",417967.459864417,NA,NA,NA,NA,NA,NA
"SPY234003","no","SPY233364/SPY234003",2023-09-01,"Italy","Toscane","monte_cristo","monte_cristo",NA,"coastal",NA,NA,NA,NA,42.335754,10.291897,NA,NA,"60",60,"dive_motionless","19:11","40",0.2,40,NA,"ActNow",0,1,1,1,0,0,0,0,0,NA,-114.27298,2023-09-01 16:11:50,42.335676,10.288712,"0188",262.631080379562,NA,NA,NA,NA,NA,NA
"SPY2401093","no","SPY2401093/SPY2401095",2024-05-24,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:00","30",0.2,30,NA,"VAMAHEAT",0,0,1,1,0,0,0,0,0,NA,1,2024-05-24 06:26:28,43.075139,3.081711,"0218",68314.0320517494,NA,NA,NA,NA,NA,NA
"SPY2401095","no","SPY2401093/SPY2401095",2024-05-24,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:00","30",0.2,30,NA,"VAMAHEAT",0,0,1,1,0,0,0,0,0,NA,1,2024-05-24 06:26:28,43.075139,3.081711,"0218",68314.0320517494,NA,NA,NA,NA,NA,NA
"SPY2401167","no","SPY2401167/SPY2401183",2024-08-21,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect",NA,"30",0.2,30,NA,"VAMAHEAT",0,0,1,1,0,0,0,0,0,NA,-3.988135,2024-08-21 05:15:03,-6.114254,39.161307,"498",6541808.49254911,NA,NA,NA,NA,NA,NA
"SPY2401175","no","SPY2401175/SPY2401181",2024-07-31,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:00","30",0.2,30,NA,"VAMAHEAT",0,0,1,1,0,0,0,0,0,NA,-111.445786,2024-07-31 06:56:42,43.189147,6.663421,"0270",236342.912017784,NA,NA,NA,NA,NA,NA
"SPY2401181","no","SPY2401175/SPY2401181",2024-07-31,"France","Occitanie","frontignan","impasse_des_mouettes",NA,"coastal","rocks_sandy_bed",NA,NA,NA,43.4298712,3.7688588,NA,NA,"1",1,"surface_transect","11:00","30",0.2,30,NA,"VAMAHEAT",0,0,1,1,0,0,0,0,0,NA,-111.445786,2024-07-31 06:56:42,43.189147,6.663421,"0270",236342.912017784,NA,NA,NA,NA,NA,NA
